Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.21      6.81     0.02                             interp (real.c:681 @ 407e40)
  0.21      6.82     0.02                             psinv (real.c:469 @ 40625a)
  0.21      6.84     0.02                             resid (real.c:538 @ 4057b8)
  0.21      6.85     0.02                             resid (real.c:528 @ 405add)
  0.14      6.86     0.01                             comm3 (real.c:884 @ 402a23)
  0.14      6.87     0.01                             interp (real.c:668 @ 407beb)
  0.14      6.88     0.01                             interp (real.c:669 @ 407bfe)
  0.14      6.89     0.01                             interp (real.c:670 @ 407c0e)
  0.14      6.90     0.01                             interp (real.c:677 @ 407d73)
  0.14      6.91     0.01                             interp (real.c:673 @ 407e09)
  0.14      6.92     0.01                             interp (real.c:689 @ 407f71)
  0.14      6.93     0.01                             interp (real.c:693 @ 40806c)
  0.14      6.94     0.01                             psinv (real.c:463 @ 4060a3)
  0.14      6.95     0.01                             psinv (real.c:460 @ 4060bc)
  0.14      6.96     0.01                             psinv (real.c:470 @ 406238)
  0.14      6.97     0.01                             psinv (real.c:468 @ 40625e)
  0.14      6.98     0.01                             psinv (real.c:467 @ 406315)
  0.14      6.99     0.01                             resid (real.c:537 @ 40579f)
  0.14      7.00     0.01                             resid (real.c:530 @ 4057bc)
  0.14      7.01     0.01                             resid (real.c:528 @ 4057db)
  0.14      7.02     0.01                             resid (real.c:537 @ 405a39)
  0.14      7.03     0.01                             resid (real.c:537 @ 405ab4)
  0.14      7.04     0.01                             resid (real.c:530 @ 405ac2)
  0.14      7.05     0.01                             resid (real.c:537 @ 405ac6)
  0.14      7.06     0.01                             rprj3 (real.c:602 @ 406ddf)
  0.14      7.07     0.01                             rprj3 (real.c:619 @ 407160)
  0.14      7.08     0.01                             rprj3 (real.c:619 @ 407185)
  0.14      7.09     0.01                             rprj3 (real.c:612 @ 4071f6)
  0.14      7.10     0.01                             rprj3 (real.c:612 @ 407227)
  0.14      7.11     0.01                             rprj3 (real.c:616 @ 40726a)
  0.14      7.12     0.01                             rprj3 (real.c:610 @ 40726f)
  0.14      7.13     0.01                             vranlc (randdp.c:122 @ 40a6e9)
  0.14      7.14     0.01                             vranlc (randdp.c:128 @ 40a710)
  0.14      7.15     0.01                             zran3 (real.c:970 @ 403555)
  0.07      7.16     0.01                             interp (real.c:683 @ 407e32)
  0.07      7.16     0.01                             interp (real.c:679 @ 407e94)
  0.07      7.17     0.01                             interp (real.c:685 @ 407f9c)
  0.07      7.17     0.01                             interp (real.c:692 @ 408065)
  0.07      7.18     0.01                             norm2u3 (real.c:825 @ 4024d0)
  0.07      7.18     0.01                             psinv (real.c:461 @ 40607e)
  0.07      7.19     0.01                             psinv (real.c:466 @ 406273)
  0.07      7.19     0.01                             resid (real.c:529 @ 405ad6)
